Date,Open,High,Low,Close,Adj Close,Volume
2014-04-04,53.892502,53.927502000000004,51.4375,51.924999,49.051842,24449200
2014-04-07,51.695,51.860001000000004,50.255001,50.852501000000004,48.038689,40124000
2014-04-08,50.705002,51.48,50.5,50.647498999999996,47.845024,21745600
2014-04-09,51.145,51.945,50.654999,51.884997999999996,49.014065,19142800
2014-04-10,52.064999,52.267502,50.037498,50.387501,47.599415,20403600
2014-04-11,49.807499,50.0,48.709998999999996,49.157501,46.437477,29939600
2014-04-14,49.950001,50.487499,49.502499,50.252499,47.471886,20925600
2014-04-15,50.959998999999996,51.235001000000004,49.7925,51.012501,48.189846,19214000
2014-04-16,51.75,52.389998999999996,51.369999,52.34,49.443878000000005,15832800
2014-04-17,52.584998999999996,52.884997999999996,51.987499,51.987499,49.110882000000004,13364000
2014-04-21,52.244999,52.375,52.0975,52.282501,49.389576,10012400
2014-04-22,52.334998999999996,52.645,52.1325,52.4925,49.587936,9840000
2014-04-23,52.575001,52.575001,52.0,52.205002,49.316349,8819600
2014-04-24,52.450001,52.625,51.897498999999996,52.349998,49.453331,13547200
2014-04-25,50.0,50.950001,49.639998999999996,49.732498,46.980652,38239200
2014-04-28,49.875,50.482498,49.752499,50.355,47.568718,24263200
2014-04-29,50.4725,51.012501,50.447497999999996,50.6675,47.863926,12760000
2014-04-30,50.564999,50.91,50.474998,50.6525,47.849762,12145600
2014-05-01,51.025002,51.827498999999996,50.84,51.522498999999996,48.671608,14273200
2014-05-02,51.435001,51.775002,51.0,51.105,48.277214,10908800
2014-05-05,50.9375,51.970001,50.75,51.782501,48.917233,13792800
2014-05-06,51.674999,51.755001,51.299999,51.34,48.499214,10873200
2014-05-07,51.752499,52.25,51.110001000000004,52.174999,49.288016999999996,14732000
2014-05-08,52.232498,53.025002,52.1525,52.724998,49.807579,14613600
2014-05-09,52.544998,52.717499,52.037498,52.702498999999996,49.786331,11795600
2014-05-12,52.77,53.119999,52.7575,52.924999,49.996513,8732800
2014-05-13,52.997501,53.172501000000004,52.849998,53.014998999999996,50.081524,7137600
2014-05-14,52.799999,52.970001,52.465,52.465,49.938759000000005,6838000
2014-05-15,52.25,52.422501000000004,51.605,51.862499,49.365261,12685200
2014-05-16,51.897498999999996,52.522498999999996,51.897498999999996,52.452498999999996,49.926857,12279600
2014-05-19,52.345001,52.744999,52.212502,52.59,50.057735,7039600
2014-05-20,52.580002,52.580002,51.849998,51.98,49.477104,8740000
2014-05-21,52.212502,52.6675,52.147498999999996,52.525002,49.995865,9096400
2014-05-22,52.532501,52.57,52.174999,52.342499,49.822155,16870000
2014-05-23,52.497501,53.067501,52.427502000000004,53.017502,50.464653000000006,11117600
2014-05-27,53.247501,53.630001,53.205002,53.625,51.042904,9676800
2014-05-28,53.625,53.625,53.252499,53.450001,50.876324,7223200
2014-05-29,53.5,53.672501000000004,53.375,53.6675,51.083351,5260400
2014-05-30,53.970001,53.987499,53.3325,53.7075,51.121429,6136400
2014-06-02,53.842499,53.922501000000004,53.209998999999996,53.380001,50.809696,6364000
2014-06-03,53.2575,53.307499,52.700001,52.830002,50.286190000000005,9011600
2014-06-04,52.790001000000004,52.857498,52.362499,52.857498,50.312363,12589600
2014-06-05,53.029999,53.125,52.654999,53.055,50.500343,6597600
2014-06-06,53.1325,53.349998,52.9025,53.25,50.685963,10002400
2014-06-09,53.372501,53.497501,52.907501,53.145,50.586006,5516400
2014-06-10,53.25,53.695,53.1875,53.5625,50.98341,6835600
2014-06-11,53.247501,53.477501000000004,53.029999,53.169998,50.609809999999996,6758000
2014-06-12,53.0975,53.2925,52.807499,52.942501,50.393271999999996,6218000
2014-06-13,52.967499,53.017502,52.712502,52.822497999999996,50.279041,7085200
2014-06-16,52.720001,52.747501,52.4925,52.560001,50.029185999999996,7899200
2014-06-17,52.535,52.98,52.474998,52.702498999999996,50.164821999999994,5722400
2014-06-18,52.612499,52.8125,52.2575,52.8125,50.269527000000004,10326000
2014-06-19,52.8675,53.040001000000004,52.005001,52.580002,50.048214,15331200
2014-06-20,52.880001,53.029999,52.275002,52.372501,49.850704,18358800
2014-06-23,52.25,52.452498999999996,52.044998,52.3675,49.845951,14765200
2014-06-24,52.317501,52.647498999999996,51.845001,51.947497999999996,49.446175,13089600
2014-06-25,51.827498999999996,52.622501,51.827498999999996,52.264998999999996,49.748379,8244800
2014-06-26,52.4575,52.465,51.889998999999996,52.240002000000004,49.724585999999995,8580400
2014-06-27,52.025002,52.474998,51.965,52.32,49.800732,12961200
2014-06-30,52.165001000000004,52.935001,52.125,52.677502000000004,50.141026000000004,9961600
2014-07-01,52.987499,53.837502,52.9575,53.5625,50.98341,10993600
2014-07-02,53.720001,53.872501,53.5625,53.709998999999996,51.12381,5768800
2014-07-03,53.827498999999996,54.25,53.775002,54.127499,51.521209999999996,5571600
2014-07-07,54.107498,54.387501,53.91,54.185001,51.575928000000005,6612400
2014-07-08,54.192501,54.2225,53.287498,53.814999,51.223755,12149200
2014-07-09,53.875,54.07,53.627499,54.040001000000004,51.437915999999994,5177200
2014-07-10,53.450001,54.2225,53.169998,53.884997999999996,51.290378999999994,8536800
2014-07-11,53.987499,54.259997999999996,53.592499,54.25,51.637798,5696800
2014-07-14,54.6875,55.59,54.412498,55.2575,52.596798,13716400
2014-07-15,55.4175,56.1875,55.224998,55.445,52.775256999999996,10900800
2014-07-16,55.735001000000004,55.790001000000004,55.27,55.6675,52.987049,8853200
2014-07-17,55.485001000000004,55.5,54.4575,54.470001,51.847218,9806000
